feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Feature6_TP	Metadata4_TP	Metadata4_TP	0.613991288995703	0.00578720608158443	1500	1500	0	0
Feature12_TP	Metadata4_TP	Metadata4_TP	0.596845421277433	0.00547671838664232	1500	1500	0	0
Feature14_TP	Metadata4_TP	Metadata4_TP	0.55767929277029	0.00570885737678269	1500	1500	0	0
Feature16_TP	Metadata4_TP	Metadata4_TP	0.595638684043414	0.00568032642091882	1500	1500	0	0
Feature22_TP	Metadata4_TP	Metadata4_TP	0.630030753562651	0.00572110225067336	1500	1500	0	0
Feature11	Metadata4_TP	Metadata4_TP	-0.151947332748735	0.022332886910502	1500	1500	1.47047670877087e-11	6.12698628654528e-10
Feature15	Metadata4_TP	Metadata4_TP	-0.100584336384162	0.0157043933416694	1500	1500	2.01140747057467e-10	7.18359810919525e-09
Feature32	Metadata4_TP	Metadata4_TP	-0.123402850788086	0.0194227750788415	1500	1500	2.7874908449132e-10	8.71090889035376e-09
Feature29	Metadata4_TP	Metadata4_TP	-0.142569675069549	0.0241582286950317	1500	1500	4.44957061012926e-09	1.23599183614702e-07
Feature24	Metadata4_TP	Metadata4_TP	-0.112362440989955	0.0198969836137788	1500	1500	1.94888284586475e-08	4.87220711466188e-07
Feature17	Metadata4_TP	Metadata4_TP	-0.121211081837229	0.0219094677177205	1500	1500	3.72500493410135e-08	7.76042694604448e-07
Feature23	Metadata4_TP	Metadata4_TP	-0.149608220549623	0.0269938403747379	1500	1500	3.52340421102801e-08	7.76042694604448e-07
Feature50	Metadata4_TP	Metadata4_TP	-0.131305732731104	0.0239457996582919	1500	1500	4.89037051673233e-08	9.40455868602372e-07
Feature21	Metadata4_TP	Metadata4_TP	-0.147850795117563	0.0271614456779072	1500	1500	6.10159398782311e-08	1.08957035496841e-06
Feature30	Metadata4_TP	Metadata4_TP	-0.125818342984369	0.023232230095001	1500	1500	7.10561183822482e-08	1.18426863970414e-06
Feature45	Metadata4_TP	Metadata4_TP	-0.135993426495577	0.0256323084688664	1500	1500	1.29235925583239e-07	2.0193113372381e-06
Feature5	Metadata4_TP	Metadata4_TP	-0.129660044423286	0.024786918984733	1500	1500	1.92539811992474e-07	2.83146782341874e-06
Feature7	Metadata4_TP	Metadata4_TP	-0.110697457370236	0.0212658145073432	1500	1500	2.20487680395465e-07	3.06232889438145e-06
Feature13	Metadata4_TP	Metadata4_TP	-0.112359042578155	0.0216986724348135	1500	1500	2.54605550181003e-07	3.35007302869741e-06
Feature18	Metadata4_TP	Metadata4_TP	-0.109699040196158	0.0215738484712486	1500	1500	4.14502773453009e-07	4.64403233443695e-06
Feature25	Metadata4_TP	Metadata4_TP	-0.149493701928027	0.029481688975538	1500	1500	4.45827104105948e-07	4.64403233443695e-06
Feature27	Metadata4_TP	Metadata4_TP	-0.130382437577792	0.0256529388541194	1500	1500	4.1938578516679e-07	4.64403233443695e-06
Feature38	Metadata4_TP	Metadata4_TP	-0.145622369448807	0.0286948313078278	1500	1500	4.36404818302159e-07	4.64403233443695e-06
Feature44	Metadata4_TP	Metadata4_TP	-0.133468933721986	0.0261413453027343	1500	1500	3.7200594959444e-07	4.64403233443695e-06
Feature20	Metadata4_TP	Metadata4_TP	-0.096742711171726	0.0191536081636059	1500	1500	4.93863440677186e-07	4.93863440677186e-06
Feature36	Metadata4_TP	Metadata4_TP	-0.109573698448503	0.0229626699457742	1500	1500	2.00429357400009e-06	1.92720535961547e-05
Feature39	Metadata4_TP	Metadata4_TP	-0.123973059572741	0.0260611592727402	1500	1500	2.15469735900925e-06	1.99509014723079e-05
